ambito,departamento_ubigeo,departamento,provincia_ubigeo,provincia,actasContabilizadas,contabilizadas,totalActas,pendientesJee,enviadasJee,keiko_actual,sanchez_actual,keiko_proyectado,sanchez_proyectado,diferencia_proyectada_keiko,ganador_proyectado
1,010000,AMAZONAS,010200,BAGUA,99.6,249,250,0,1,11264,26411,11309,26517,-15208,Sánchez
1,010000,AMAZONAS,010300,BONGARÁ,100.0,84,84,0,0,6000,7854,6000,7854,-1854,Sánchez
1,010000,AMAZONAS,010100,CHACHAPOYAS,99.412,169,170,0,1,13006,16165,13083,16261,-3178,Sánchez
1,010000,AMAZONAS,010600,CONDORCANQUI,100.0,174,174,0,0,1458,16050,1458,16050,-14592,Sánchez
1,010000,AMAZONAS,010400,LUYA,99.371,158,159,0,1,9970,13296,10033,13380,-3347,Sánchez
1,010000,AMAZONAS,010500,RODRÍGUEZ DE MENDOZA,100.0,102,102,0,0,6664,7867,6664,7867,-1203,Sánchez
1,010000,AMAZONAS,010700,UTCUBAMBA,100.0,339,339,0,0,20757,37705,20757,37705,-16948,Sánchez
1,020000,ÁNCASH,020200,AIJA,100.0,26,26,0,0,1680,2400,1680,2400,-720,Sánchez
1,020000,ÁNCASH,021600,ANTONIO RAIMONDI,100.0,46,46,0,0,955,4513,955,4513,-3558,Sánchez
1,020000,ÁNCASH,021800,ASUNCIÓN,95.652,22,23,0,1,948,2328,991,2434,-1443,Sánchez
1,020000,ÁNCASH,020300,BOLOGNESI,100.0,85,85,0,0,4515,7459,4515,7459,-2944,Sánchez
1,020000,ÁNCASH,020400,CARHUAZ,97.987,146,149,0,3,9621,18857,9819,19244,-9425,Sánchez
1,020000,ÁNCASH,021700,CARLOS FERMÍN FITZCARRALD,98.246,56,57,0,1,1681,5661,1711,5762,-4051,Sánchez
1,020000,ÁNCASH,020500,CASMA,98.601,141,143,0,2,16863,12398,17102,12574,4528,Keiko
1,020000,ÁNCASH,020600,CORONGO,100.0,27,27,0,0,1463,2172,1463,2172,-709,Sánchez
1,020000,ÁNCASH,020100,HUARAZ,99.123,452,456,0,4,36773,54010,37098,54488,-17390,Sánchez
1,020000,ÁNCASH,020800,HUARI,97.576,322,330,0,8,10754,28974,11021,29694,-18673,Sánchez
1,020000,ÁNCASH,021900,HUARMEY,96.809,91,94,0,3,9694,8248,10014,8520,1494,Keiko
1,020000,ÁNCASH,020700,HUAYLAS,100.0,169,169,0,0,15935,14066,15935,14066,1869,Keiko
1,020000,ÁNCASH,020900,MARISCAL LUZURIAGA,98.592,70,71,0,1,1934,7561,1962,7669,-5707,Sánchez
1,020000,ÁNCASH,022000,OCROS,100.0,30,30,0,0,1990,1791,1990,1791,199,Keiko
1,020000,ÁNCASH,021000,PALLASCA,97.368,74,76,0,2,3027,6795,3109,6979,-3870,Sánchez
1,020000,ÁNCASH,021100,POMABAMBA,100.0,79,79,0,0,2893,8044,2893,8044,-5151,Sánchez
1,020000,ÁNCASH,021200,RECUAY,98.507,66,67,0,1,3257,7641,3306,7757,-4451,Sánchez
1,020000,ÁNCASH,021300,SANTA,98.6,1268,1286,0,18,129482,128494,131320,130318,1002,Keiko
1,020000,ÁNCASH,021400,SIHUAS,100.0,89,89,0,0,3681,8655,3681,8655,-4974,Sánchez
1,020000,ÁNCASH,021500,YUNGAY,99.408,168,169,0,1,10325,18758,10386,18870,-8484,Sánchez
1,030000,APURÍMAC,030100,ABANCAY,99.361,311,313,0,2,16913,43836,17022,44118,-27096,Sánchez
1,030000,APURÍMAC,030300,ANDAHUAYLAS,98.899,449,454,0,5,13770,70247,13923,71029,-57106,Sánchez
1,030000,APURÍMAC,030400,ANTABAMBA,100.0,43,43,0,0,989,5210,989,5210,-4221,Sánchez
1,030000,APURÍMAC,030200,AYMARAES,100.0,101,101,0,0,3089,12721,3089,12721,-9632,Sánchez
1,030000,APURÍMAC,030700,CHINCHEROS,99.355,154,155,0,1,4183,21559,4210,21699,-17489,Sánchez
1,030000,APURÍMAC,030500,COTABAMBAS,99.405,167,168,0,1,2887,22423,2904,22557,-19653,Sánchez
1,030000,APURÍMAC,030600,GRAU,98.795,82,83,0,1,1301,9829,1317,9949,-8632,Sánchez
1,040000,AREQUIPA,040100,AREQUIPA,99.628,3218,3230,0,12,279923,446974,280968,448643,-167675,Sánchez
1,040000,AREQUIPA,040300,CAMANÁ,97.802,178,182,0,4,14771,21963,15103,22457,-7354,Sánchez
1,040000,AREQUIPA,040400,CARAVELÍ,99.138,115,116,0,1,8868,12452,8945,12560,-3615,Sánchez
1,040000,AREQUIPA,040500,CASTILLA,100.0,106,106,0,0,4821,12699,4821,12699,-7878,Sánchez
1,040000,AREQUIPA,040200,CAYLLOMA,100.0,299,299,0,0,10231,50037,10231,50037,-39806,Sánchez
1,040000,AREQUIPA,040600,CONDESUYOS,98.182,54,55,0,1,1425,6718,1451,6842,-5391,Sánchez
1,040000,AREQUIPA,040700,ISLAY,96.067,171,178,0,7,11332,24910,11796,25930,-14134,Sánchez
1,040000,AREQUIPA,040800,LA UNIÓN,97.959,48,49,0,1,915,4673,934,4770,-3836,Sánchez
1,050000,AYACUCHO,050200,CANGALLO,100.0,112,112,0,0,2360,14424,2360,14424,-12064,Sánchez
1,050000,AYACUCHO,050100,HUAMANGA,98.602,776,787,0,11,35953,122714,36463,124454,-87991,Sánchez
1,050000,AYACUCHO,050800,HUANCA SANCOS,100.0,34,34,0,0,526,3973,526,3973,-3447,Sánchez
1,050000,AYACUCHO,050300,HUANTA,99.288,279,281,0,2,9811,36058,9881,36317,-26436,Sánchez
1,050000,AYACUCHO,050400,LA MAR,99.561,227,228,0,1,6620,28249,6649,28374,-21725,Sánchez
1,050000,AYACUCHO,050500,LUCANAS,99.367,157,158,0,1,5148,17236,5181,17346,-12165,Sánchez
1,050000,AYACUCHO,050600,PARINACOCHAS,100.0,77,77,0,0,1690,9204,1690,9204,-7514,Sánchez
1,050000,AYACUCHO,051000,PÁUCAR DEL SARA SARA,100.0,34,34,0,0,1057,3621,1057,3621,-2564,Sánchez
1,050000,AYACUCHO,051100,SUCRE,100.0,37,37,0,0,920,3746,920,3746,-2826,Sánchez
1,050000,AYACUCHO,050700,VÍCTOR FAJARDO,100.0,80,80,0,0,1130,8801,1130,8801,-7671,Sánchez
1,050000,AYACUCHO,050900,VILCAS HUAMÁN,100.0,72,72,0,0,1634,8336,1634,8336,-6702,Sánchez
1,060000,CAJAMARCA,060200,CAJABAMBA,99.091,218,220,0,2,14549,19384,14682,19562,-4880,Sánchez
1,060000,CAJAMARCA,060100,CAJAMARCA,98.727,1008,1021,0,13,94724,111076,95945,112508,-16563,Sánchez
1,060000,CAJAMARCA,060300,CELENDÍN,98.148,265,270,0,5,9253,27756,9428,28280,-18852,Sánchez
1,060000,CAJAMARCA,060600,CHOTA,99.355,462,465,0,3,16277,59829,16383,60217,-43834,Sánchez
1,060000,CAJAMARCA,060400,CONTUMAZA,100.0,82,82,0,0,5777,8228,5777,8228,-2451,Sánchez
1,060000,CAJAMARCA,060500,CUTERVO,100.0,381,381,0,0,18083,41730,18083,41730,-23647,Sánchez
1,060000,CAJAMARCA,060700,HUALGAYOC,100.0,264,264,0,0,7811,36886,7811,36886,-29075,Sánchez
1,060000,CAJAMARCA,060800,JAÉN,100.0,607,607,0,0,35174,76518,35174,76518,-41344,Sánchez
1,060000,CAJAMARCA,061100,SAN IGNACIO,100.0,408,408,0,0,15342,56093,15342,56093,-40751,Sánchez
1,060000,CAJAMARCA,061200,SAN MARCOS,99.383,161,162,0,1,9071,15157,9127,15251,-6124,Sánchez
1,060000,CAJAMARCA,061000,SAN MIGUEL,100.0,160,160,0,0,9055,16809,9055,16809,-7754,Sánchez
1,060000,CAJAMARCA,061300,SAN PABLO,100.0,74,74,0,0,3490,9201,3490,9201,-5711,Sánchez
1,060000,CAJAMARCA,060900,SANTA CRUZ,99.206,125,126,0,1,5933,12775,5980,12877,-6897,Sánchez
1,240000,CALLAO,240100,CALLAO,97.999,2840,2898,0,58,395729,207576,403809,211814,191995,Keiko
1,070000,CUSCO,070200,ACOMAYO,100.0,80,80,0,0,1406,12487,1406,12487,-11081,Sánchez
1,070000,CUSCO,070300,ANTA,98.454,191,194,0,3,6644,30805,6748,31289,-24541,Sánchez
1,070000,CUSCO,070400,CALCA,99.531,212,213,0,1,6669,32418,6700,32571,-25871,Sánchez
1,070000,CUSCO,070500,CANAS,100.0,118,118,0,0,1417,18990,1417,18990,-17573,Sánchez
1,070000,CUSCO,070600,CANCHIS,99.31,288,290,0,2,6672,51545,6718,51903,-45185,Sánchez
1,070000,CUSCO,070700,CHUMBIVILCAS,100.0,236,236,0,0,2357,37875,2357,37875,-35518,Sánchez
1,070000,CUSCO,070100,CUSCO,98.253,1237,1259,0,22,94700,170264,96384,173291,-76907,Sánchez
1,070000,CUSCO,070800,ESPINAR,99.078,215,217,0,2,4458,36437,4499,36776,-32277,Sánchez
1,070000,CUSCO,070900,LA CONVENCIÓN,96.835,612,632,0,20,19308,79182,19939,81770,-61831,Sánchez
1,070000,CUSCO,071000,PARURO,100.0,105,105,0,0,2156,14154,2156,14154,-11998,Sánchez
1,070000,CUSCO,071100,PAUCARTAMBO,99.301,142,143,0,1,2449,23807,2466,23975,-21509,Sánchez
1,070000,CUSCO,071200,QUISPICANCHI,99.278,275,277,0,2,7592,45523,7647,45854,-38207,Sánchez
1,070000,CUSCO,071300,URUBAMBA,99.087,217,219,0,2,8889,35132,8971,35456,-26485,Sánchez
1,080000,HUANCAVELICA,080200,ACOBAMBA,100.0,143,143,0,0,3488,17295,3488,17295,-13807,Sánchez
1,080000,HUANCAVELICA,080300,ANGARAES,98.137,158,161,0,3,4011,21182,4087,21584,-17497,Sánchez
1,080000,HUANCAVELICA,080400,CASTROVIRREYNA,100.0,69,69,0,0,3057,6254,3057,6254,-3197,Sánchez
1,080000,HUANCAVELICA,080700,CHURCAMPA,98.347,119,121,0,2,3006,13519,3057,13746,-10689,Sánchez
1,080000,HUANCAVELICA,080100,HUANCAVELICA,99.219,381,384,0,3,10558,55580,10641,56017,-45376,Sánchez
1,080000,HUANCAVELICA,080600,HUAYTARA,98.81,83,84,0,1,3708,7627,3753,7719,-3966,Sánchez
1,080000,HUANCAVELICA,080500,TAYACAJA,99.357,309,311,0,2,8879,39202,8936,39456,-30520,Sánchez
1,090000,HUÁNUCO,090200,AMBO,100.0,174,174,0,0,10809,19637,10809,19637,-8828,Sánchez
1,090000,HUÁNUCO,090300,DOS DE MAYO,100.0,120,120,0,0,4161,11982,4161,11982,-7821,Sánchez
1,090000,HUÁNUCO,090900,HUACAYBAMBA,100.0,55,55,0,0,1230,5038,1230,5038,-3808,Sánchez
1,090000,HUÁNUCO,090400,HUAMALIES,100.0,173,173,0,0,5385,19188,5385,19188,-13803,Sánchez
1,090000,HUÁNUCO,090100,HUÁNUCO,98.951,849,858,0,9,63839,98758,64516,99805,-35289,Sánchez
1,090000,HUÁNUCO,091000,LAURICOCHA,98.701,76,77,0,1,1719,8004,1742,8109,-6367,Sánchez
1,090000,HUÁNUCO,090600,LEONCIO PRADO,98.715,384,389,0,5,34051,37608,34494,38098,-3604,Sánchez
1,090000,HUÁNUCO,090500,MARAÑÓN,100.0,94,94,0,0,4422,8591,4422,8591,-4169,Sánchez
1,090000,HUÁNUCO,090700,PACHITEA,99.398,165,166,0,1,5036,19400,5067,19517,-14450,Sánchez
1,090000,HUÁNUCO,090800,PUERTO INCA,97.479,116,119,0,3,7147,9826,7332,10080,-2748,Sánchez
1,090000,HUÁNUCO,091100,YAROWILCA,99.138,115,116,0,1,1955,11938,1972,12042,-10070,Sánchez
1,100000,ICA,100200,CHINCHA,98.423,624,634,0,10,76822,64993,78053,66034,12019,Keiko
1,100000,ICA,100100,ICA,99.553,1114,1119,0,5,129856,118794,130439,119327,11112,Keiko
1,100000,ICA,100300,NASCA,99.083,216,218,0,2,20008,25194,20193,25427,-5234,Sánchez
1,100000,ICA,100500,PALPA,100.0,46,46,0,0,4408,4965,4408,4965,-557,Sánchez
1,100000,ICA,100400,PISCO,98.826,421,426,0,5,48634,45185,49212,45722,3490,Keiko
1,110000,JUNÍN,110800,CHANCHAMAYO,99.376,478,481,0,3,40951,45287,41208,45571,-4363,Sánchez
1,110000,JUNÍN,110900,CHUPACA,100.0,190,190,0,0,15039,23370,15039,23370,-8331,Sánchez
1,110000,JUNÍN,110200,CONCEPCIÓN,99.468,187,188,0,1,15850,17395,15935,17488,-1553,Sánchez
1,110000,JUNÍN,110100,HUANCAYO,99.37,1578,1588,0,10,148411,183477,149352,184640,-35288,Sánchez
1,110000,JUNÍN,110300,JAUJA,99.254,266,268,0,2,23879,26150,24058,26347,-2289,Sánchez
1,110000,JUNÍN,110400,JUNÍN,100.0,64,64,0,0,3821,7508,3821,7508,-3687,Sánchez
1,110000,JUNÍN,110700,SATIPO,98.899,539,545,0,6,38918,52547,39351,53132,-13781,Sánchez
1,110000,JUNÍN,110500,TARMA,98.473,258,262,0,4,27144,24172,27565,24547,3018,Keiko
1,110000,JUNÍN,110600,YAULI,99.048,104,105,0,1,7526,12067,7598,12183,-4585,Sánchez
1,120000,LA LIBERTAD,120800,ASCOPE,98.837,340,344,0,4,42318,27935,42816,28264,14552,Keiko
1,120000,LA LIBERTAD,120200,BOLÍVAR,100.0,48,48,0,0,2146,3355,2146,3355,-1209,Sánchez
1,120000,LA LIBERTAD,120900,CHEPÉN,99.583,239,240,0,1,28274,21242,28392,21331,7061,Keiko
1,120000,LA LIBERTAD,121100,GRAN CHIMÚ,96.386,80,83,0,3,8791,4412,9121,4577,4544,Keiko
1,120000,LA LIBERTAD,121000,JULCÁN,100.0,94,94,0,0,6649,8392,6649,8392,-1743,Sánchez
1,120000,LA LIBERTAD,120400,OTUZCO,99.62,262,263,0,1,18997,24258,19069,24351,-5282,Sánchez
1,120000,LA LIBERTAD,120500,PACASMAYO,99.658,291,292,0,1,34645,25281,34764,25368,9396,Keiko
1,120000,LA LIBERTAD,120600,PATAZ,100.0,223,223,0,0,10931,20926,10931,20926,-9995,Sánchez
1,120000,LA LIBERTAD,120300,SÁNCHEZ CARRIÓN,99.766,427,428,0,1,32323,38062,32399,38151,-5752,Sánchez
1,120000,LA LIBERTAD,120700,SANTIAGO DE CHUCO,100.0,155,155,0,0,10108,14513,10108,14513,-4405,Sánchez
1,120000,LA LIBERTAD,120100,TRUJILLO,99.263,2828,2849,0,21,379775,220999,382595,222640,159955,Keiko
1,120000,LA LIBERTAD,121200,VIRÚ,99.293,281,283,0,2,25228,33630,25408,33869,-8461,Sánchez
1,130000,LAMBAYEQUE,130100,CHICLAYO,99.582,2381,2391,0,10,299729,200322,300987,201163,99824,Keiko
1,130000,LAMBAYEQUE,130200,FERREÑAFE,99.672,304,305,0,1,27978,27310,28070,27400,670,Keiko
1,130000,LAMBAYEQUE,130300,LAMBAYEQUE,99.776,892,894,0,2,108014,77063,108256,77236,31020,Keiko
1,140000,LIMA,140900,BARRANCA,99.761,417,418,0,1,48874,38419,48991,38511,10480,Keiko
1,140000,LIMA,140200,CAJATAMBO,100.0,24,24,0,0,1801,1352,1801,1352,449,Keiko
1,140000,LIMA,140300,CANTA,97.872,46,47,0,1,4628,4253,4729,4345,384,Keiko
1,140000,LIMA,140400,CAÑETE,99.102,662,668,0,6,80941,68239,81674,68857,12817,Keiko
1,140000,LIMA,140800,HUARAL,98.929,554,560,0,6,65844,52289,66557,52855,13702,Keiko
1,140000,LIMA,140600,HUAROCHIRÍ,99.123,339,342,0,3,32440,32686,32727,32975,-248,Sánchez
1,140000,LIMA,140500,HUAURA,98.779,647,655,0,8,72694,64578,73593,65376,8217,Keiko
1,140000,LIMA,140100,LIMA,96.67,25490,26368,0,878,3628812,1993349,3753814,2062014,1691800,Keiko
1,150000,LORETO,150600,MARISCAL RAMÓN CASTILLA,98.98,194,196,0,2,14823,5496,14976,5553,9423,Keiko
1,150000,LORETO,150100,MAYNAS,98.728,1320,1337,0,17,130087,95724,131763,96957,34806,Keiko
1,150000,LORETO,150900,PUTUMAYO,96.667,29,30,0,1,1755,706,1816,730,1086,Keiko
1,150000,LORETO,150400,REQUENA,94.241,180,191,9,2,14604,8875,15496,9417,6079,Keiko
1,150000,LORETO,150500,UCAYALI,99.457,183,184,0,1,11187,11398,11248,11460,-212,Sánchez
1,160000,MADRE DE DIOS,160200,MANÚ,98.529,67,68,0,1,2046,8428,2077,8554,-6477,Sánchez
1,160000,MADRE DE DIOS,160300,TAHUAMANÚ,100.0,37,37,0,0,2325,3681,2325,3681,-1356,Sánchez
1,160000,MADRE DE DIOS,160100,TAMBOPATA,99.005,398,402,0,4,24744,53323,24993,53859,-28866,Sánchez
1,170000,MOQUEGUA,170200,GENERAL SÁNCHEZ CERRO,100.0,62,62,0,0,1720,8465,1720,8465,-6745,Sánchez
1,170000,MOQUEGUA,170300,ILO,99.571,232,233,0,1,17724,32996,17800,33138,-15338,Sánchez
1,170000,MOQUEGUA,170100,MARISCAL NIETO,99.647,282,283,0,1,13909,46774,13958,46940,-32982,Sánchez
1,180000,PASCO,180200,DANIEL ALCIDES CARRIÓN,98.131,105,107,0,2,2996,12653,3053,12894,-9841,Sánchez
1,180000,PASCO,180300,OXAPAMPA,98.107,311,317,0,6,27310,20572,27837,20969,6868,Keiko
